text,count
new,50
live,49
news,43
page,26
channel,25
world,21
guide,18
today,17
sky,17
next,16
top,16
home,15
time,15
list,15
back,14
video,14
one,14
search,13
sharp,12
good,12
press,12
sport,12
enter,12
left,11
play,11
music,11
game,11
house,11
call,10
radio,10
great,10
show,10
start,10
business,9
program,9
go,9
man,9
control,9
smart,9
tube,9
box,8
network,8
breakfast,8
big,8
office,8
season,8
classic,8
soon,7
select,7
work,7
point,7
come,7
make,7
create,7
people,7
state,7
may,7
take,7
use,7
president,7
service,7
continue,6
input,6
set,6
life,6
know,6
help,6
star,6
information,6
library,6
smooth,6
many,6
story,6
weekend,6
menu,6
ago,6
store,6
wed,6
full,5
action,5
account,5
buy,5
stop,5
see,5
online,5
power,5
welcome,5
run,5
digital,5
food,5
player,5
final,5
court,5
method,5
right,5
talk,5
red,5
want,5
museum,5
station,5
return,5
planet,4
grand,4
green,4
think,4
series,4
look,4
hard,4
system,4
perfect,4
law,4
please,4
get,4
would,4
address,4
win,4
plus,4
police,4
simply,4
free,4
low,4
edit,4
sun,4
football,4
view,4
fly,4
park,4
national,4
try,4
west,4
must,4
sound,4
favorite,4
cat,4
journey,4
city,4
score,4
road,4
monitor,4
ask,4
debate,4
push,4
like,4
let,4
public,4
last,4
button,4
hot,4
day,4
software,3
disk,3
social,3
stage,3
family,3
south,3
son,3
era,3
square,3
feel,3
episode,3
extra,3
end,3
find,3
song,3
enjoy,3
file,3
soul,3
king,3
foreign,3
remote,3
record,3
name,3
net,3
race,3
quick,3
oil,3
old,3
open,3
promise,3
phone,3
photo,3
project,3
product,3
popular,3
prison,3
possible,3
prime,3
military,3
management,3
found,3
machine,3
ground,3
server,3
happy,3
heart,3
security,3
secret,3
hour,3
human,3
screen,3
say,3
jump,3
row,3
role,3
land,3
league,3
long,3
lot,3
sure,3
presidential,3
voice,3
beauty,3
boot,3
young,3
air,3
agent,3
web,3
suspect,3
design,3
ad,3
access,3
center,3
van,3
tail,3
year,3
death,3
county,3
weather,3
data,3
window,3
bomb,3
credit,3
challenge,3
die,3
white,3
cause,3
watch,3
complete,3
available,3
unit,3
collection,3
color,3
body,3
way,3
raw,2
hotel,2
choice,2
choose,2
trust,2
championship,2
check,2
second,2
chair,2
true,2
hunger,2
close,2
horse,2
train,2
short,2
official,2
bill,2
question,2
number,2
author,2
company,2
toy,2
award,2
away,2
clear,2
hair,2
never,2
bad,2
health,2
club,2
send,2
hi,2
high,2
history,2
move,2
carpet,2
interaction,2
blue,2
lift,2
brand,2
link,2
vice,2
bell,2
maybe,2
book,2
registration,2
release,2
love,2
lunch,2
ready,2
black,2
magic,2
mail,2
master,2
mark,2
majority,2
bit,2
maker,2
march,2
visit,2
mile,2
broadcast,2
less,2
minute,2
internal,2
international,2
direct,2
issue,2
reason,2
beat,2
around,2
kick,2
recent,2
round,2
mode,2
car,2
laboratory,2
rock,2
capital,2
update,2
user,2
miss,2
bus,2
lay,2
leader,2
art,2
dinner,2
southern,2
wooden,2
status,2
politics,2
tall,2
evaluation,2
policy,2
every,2
add,2
exhibition,2
tax,2
staff,2
special,2
sort,2
fall,2
woman,2
space,2
area,2
fashion,2
text,2
currently,2
picture,2
feed,2
cup,2
demand,2
process,2
pop,2
still,2
director,2
discover,2
surprise,2
display,2
accept,2
present,2
development,2
drama,2
draw,2
dream,2
success,2
style,2
preparation,2
studio,2
string,2
edge,2
develop,2
across,2
efficient,2
emergency,2
democratic,2
festival,2
artist,2
forth,2
forward,2
smoke,2
propose,2
could,2
course,2
pause,2
party,2
answer,2
tomorrow,2
theory,2
slow,2
wife,2
flight,2
original,2
orange,2
operation,2
per,2
fun,2
fix,2
format,2
promote,2
animal,2
first,2
performance,2
crime,2
sing,2
former,2
sign,2
yes,1
regional,1
pro,1
register,1
wish,1
wait,1
volume,1
primary,1
price,1
refuse,1
protest,1
pump,1
weight,1
purpose,1
quite,1
well,1
whilst,1
previous,1
properly,1
warm,1
wave,1
reach,1
winner,1
read,1
wing,1
real,1
within,1
reality,1
rear,1
wind,1
profile,1
receive,1
water,1
production,1
reduce,1
worker,1
worth,1
promotion,1
recovery,1
writer,1
rate,1
recruit,1
rank,1
proper,1
rain,1
warn,1
rail,1
wet,1
scene,1
report,1
together,1
theater,1
thin,1
thing,1
something,1
somebody,1
solution,1
threaten,1
soft,1
society,1
throw,1
tie,1
title,1
sleep,1
shower,1
tool,1
total,1
skin,1
ski,1
size,1
sit,1
sir,1
touch,1
singer,1
tough,1
silver,1
tour,1
thank,1
tent,1
speak,1
tennis,1
support,1
supply,1
stupid,1
struggle,1
stroke,1
strike,1
strength,1
street,1
stranger,1
survival,1
stone,1
stock,1
step,1
stay,1
talent,1
statement,1
tap,1
taste,1
standard,1
teach,1
spring,1
team,1
spot,1
tell,1
speed,1
side,1
tourism,1
vision,1
ride,1
save,1
sample,1
safety,1
union,1
universal,1
universe,1
university,1
room,1
river,1
rise,1
value,1
various,1
version,1
tourist,1
via,1
rich,1
reverse,1
victory,1
result,1
rest,1
resort,1
resolution,1
resistance,1
research,1
request,1
represent,1
scare,1
schedule,1
understand,1
sea,1
shop,1
tournament,1
share,1
tower,1
sex,1
town,1
session,1
track,1
traffic,1
serious,1
transportation,1
travel,1
treatment,1
sequence,1
trial,1
segment,1
seem,1
seek,1
troop,1
truck,1
secretary,1
secondary,1
seat,1
seal,1
turn,1
able,1
loose,1
premise,1
dad,1
criminal,1
cross,1
culture,1
current,1
custom,1
cut,1
cycle,1
daily,1
component,1
damn,1
dance,1
danger,1
dark,1
date,1
daughter,1
dead,1
creative,1
craft,1
coverage,1
cover,1
computer,1
concern,1
confirm,1
connection,1
